Total Population,zip
16834,00601
37642,00602
49075,00603
5590,00606
25542,00610
1315,00611
63312,00612
9625,00616
22573,00617
7577,00622
39406,00623
21648,00624
32733,00627
1431,00631
1057,00636
22882,00637
17605,00638
24299,00641
35926,00646
4702,00647
13767,00650
3924,00652
8980,00653
18121,00656
37066,00659
15483,00660
40480,00662
14967,00664
23370,00667
27529,00669
8746,00670
39385,00674
36683,00676
15304,00677
25039,00678
43173,00680
30414,00682
29547,00683
40346,00685
28659,00687
11478,00688
5781,00690
33302,00692
55570,00693
98,00694
33506,00698
24475,00703
6831,00704
24401,00705
10487,00707
15797,00714
2040,00715
27166,00716
15029,00717
23289,00718
29523,00719
20816,00720
15978,00723
77244,00725
53258,00727
38590,00728
47826,00729
32267,00730
10473,00731
11164,00735
45867,00736
30093,00738
34678,00739
2034,00740
3627,00741
47494,00745
19570,00751
36576,00754
20048,00757
8199,00765
22053,00766
30779,00767
34374,00769
34964,00771
17316,00772
17716,00773
1186,00775
37726,00777
40476,00778
13908,00780
18639,00782
34205,00783
35917,00784
154,00786
46537,00791
28335,00794
42900,00795
8220,00901
148,00906
16607,00907
5260,00909
7087,00911
5955,00912
7068,00913
24713,00915
18544,00917
15976,00918
17293,00920
33555,00921
24760,00923
47080,00924
5556,00925
93751,00926
13766,00927
128,00934
68031,00949
0,00950
298,00951
8168,00952
66079,00953
65841,00956
41009,00957
47721,00959
3405,00960
29271,00961
19614,00962
5148,00965
16451,00966
3554,00968
41784,00969
26430,00971
61638,00976
16890,00979
13876,00982
31816,00983
32265,00985
54109,00987
16045,01001
22992,01002
11989,01003
4837,01005
15368,01007
1231,01008
699,01009
3699,01010
1318,01011
440,01012
22895,01013
30417,01020
2144,01022
1073,01026
17711,01027
16273,01028
527,01029
12561,01030
1697,01031
484,01032
6096,01033
2065,01034
5295,01035
4966,01036
582,01037
2469,01038
1728,01039
38210,01040
2714,01050
1885,01053
1793,01054
20883,01056
8215,01057
14724,01060
9491,01062
2089,01063
134,01066
1585,01068
8516,01069
571,01070
1259,01071
1413,01072
6185,01073
694,01074
17115,01075
9244,01077
640,01079
2674,01080
1716,01081
10533,01082
2539,01083
99,01084
41592,01085
725,01088
28755,01089
1428,01092
145,01093
44,01094
14673,01095
2516,01096
36,01097
951,01098
2245,01103
22606,01104
12045,01105
16019,01106
12443,01107
26198,01108
31301,01109
15112,01118
14182,01119
3063,01128
6486,01129
0,01144
